well_id,control_point_id,pumping_period,effect_period,response
1,1,4,5,-5.807e-08
1,1,7,9,5.4e-08
1,1,8,9,6.747e-08
1,1,8,10,8.578e-08
1,1,8,11,5.552e-08
1,1,9,9,5.676e-08
1,1,9,10,9.577e-08
1,1,9,11,5.571e-08
1,1,9,12,5.205e-08
1,1,10,10,5.294e-08
1,1,10,11,7.377e-08
1,1,10,12,6.587e-08
1,1,11,12,5.624e-08
1,1,18,19,5.713e-08
1,1,18,20,7.9e-08
1,1,18,21,5.481e-08
1,1,19,20,8.465e-08
1,1,19,21,8.259e-08
1,1,20,20,5.726e-08
1,1,20,21,8.725e-08
2,1,4,5,-5.795e-08
2,1,7,9,5.385e-08
2,1,8,9,6.714e-08
2,1,8,10,8.571e-08
2,1,8,11,5.546e-08
2,1,9,9,5.656e-08
2,1,9,10,9.549e-08
2,1,9,11,5.559e-08
2,1,9,12,5.195e-08
2,1,10,10,5.277e-08
2,1,10,11,7.346e-08
2,1,10,12,6.553e-08
2,1,11,12,5.595e-08
2,1,18,19,5.687e-08
2,1,18,20,7.873e-08
2,1,18,21,5.442e-08
2,1,19,20,8.444e-08
2,1,19,21,8.232e-08
2,1,20,20,5.712e-08
2,1,20,21,8.701e-08
3,1,4,5,-6.263e-08
3,1,4,6,-7.046e-08
3,1,4,8,-5.138e-08
3,1,8,9,6.279e-08
3,1,8,10,8.043e-08
3,1,9,9,5.513e-08
3,1,9,10,9.109e-08
3,1,10,10,5.138e-08
3,1,10,11,6.908e-08
3,1,11,12,5.155e-08
3,1,18,19,5.261e-08
3,1,19,20,7.676e-08
3,1,19,21,7.502e-08
3,1,20,20,5.588e-08
3,1,20,21,8.265e-08
4,1,4,5,-6.244e-08
4,1,4,6,-7.04e-08
4,1,4,8,-5.105e-08
4,1,8,9,6.292e-08
4,1,9,9,5.517e-08
4,1,9,10,9.121e-08
4,1,10,10,5.142e-08
4,1,10,11,6.921e-08
4,1,11,12,5.167e-08
4,1,18,19,5.277e-08
4,1,19,20,7.693e-08
4,1,19,21,7.508e-08
4,1,20,20,5.594e-08
4,1,20,21,8.279e-08
5,1,1,1,-5.797e-07
5,1,1,2,-5.612e-07
5,1,1,3,-4.049e-07
5,1,1,4,-2.919e-07
5,1,1,5,-2.427e-07
5,1,1,6,-1.773e-07
5,1,1,7,-1.183e-07
5,1,1,8,-1.73e-07
5,1,1,10,5.042e-08
5,1,1,12,5.493e-08
5,1,1,13,-1.071e-07
5,1,1,15,-5.669e-08
5,1,1,16,-7.976e-08
5,1,1,17,-1.001e-07
5,1,1,18,5.536e-08
5,1,1,20,7.678e-08
5,1,2,2,-6.7e-07
5,1,2,3,-6.41e-07
5,1,2,4,-4.642e-07
5,1,2,5,-3.378e-07
5,1,2,6,-2.488e-07
5,1,2,7,-1.889e-07
5,1,2,8,-1.448e-07
5,1,2,9,-5.798e-08
5,1,2,11,-7.833e-08
5,1,2,16,-6.508e-08
5,1,3,3,-6.777e-07
5,1,3,4,-6.16e-07
5,1,3,5,-3.486e-07
5,1,3,6,-2.52e-07
5,1,3,7,-2.063e-07
5,1,3,8,-1.119e-07
5,1,3,9,8.281e-08
5,1,3,10,8.07e-08
5,1,3,18,5.507e-08
5,1,4,4,-6.528e-07
5,1,4,5,-7.74e-07
5,1,4,6,-5.543e-07
5,1,4,7,-4.73e-07
5,1,4,8,-3.22e-07
5,1,4,11,-8.357e-08
5,1,4,16,-7.081e-08
5,1,5,5,-8.229e-07
5,1,5,6,-7.028e-07
5,1,5,7,-4.104e-07
5,1,5,8,-3.277e-07
5,1,5,9,-1.657e-07
5,1,5,10,-9.105e-08
5,1,5,11,-7.01e-08
5,1,5,12,-6.012e-08
5,1,5,13,-5.252e-08
5,1,6,6,-6.117e-07
5,1,6,7,-4.23e-07
5,1,6,8,-3.107e-07
5,1,6,9,-1.158e-07
5,1,6,10,-7.674e-08
5,1,6,11,-6.952e-08
5,1,7,7,-4.962e-07
5,1,7,8,-3.421e-07
5,1,7,12,5.008e-08
5,1,7,20,5.433e-08
5,1,8,8,-5.475e-07
5,1,8,9,-1.466e-07
5,1,8,10,-1.988e-07
5,1,8,11,-1.775e-07
5,1,8,12,-8.083e-08
5,1,8,13,-8.413e-08
5,1,8,16,-8.886e-08
5,1,8,18,5.276e-08
5,1,8,19,9.455e-08
5,1,8,20,1.309e-07
5,1,8,21,1.061e-07
5,1,9,9,-2.791e-07
5,1,10,10,-3.091e-07
5,1,10,11,-1.215e-07
5,1,10,12,-7.118e-08
5,1,10,13,-1.942e-07
5,1,10,14,-1.339e-07
5,1,10,15,-1.051e-07
5,1,10,16,-6.5e-08
5,1,10,17,-6.105e-08
5,1,11,11,-4.162e-07
5,1,11,12,-2.327e-07
5,1,11,13,-2.524e-07
5,1,11,14,-1.417e-07
5,1,11,15,-1.272e-07
5,1,11,16,-1.549e-07
5,1,11,17,-5.992e-08
5,1,11,20,6.205e-08
5,1,12,12,-3.875e-07
5,1,12,13,-2.814e-07
5,1,12,14,-2.645e-07
5,1,12,15,-1.913e-07
5,1,12,16,-1.428e-07
5,1,12,17,-8.822e-08
5,1,12,19,6.421e-08
5,1,12,20,-8.119e-08
5,1,12,21,-6.232e-08
5,1,13,13,-4.989e-07
5,1,13,14,-3.399e-07
5,1,13,15,-3.107e-07
5,1,13,16,-2.823e-07
5,1,13,17,-1.508e-07
5,1,13,19,-7.115e-08
5,1,14,14,-4.777e-07
5,1,14,15,-3.466e-07
5,1,14,16,-2.295e-07
5,1,14,17,-1.439e-07
5,1,14,18,-9.574e-08
5,1,14,19,-6.852e-08
5,1,15,15,-4.89e-07
5,1,15,16,-4.167e-07
5,1,15,17,-3.285e-07
5,1,15,18,-8.234e-08
5,1,15,19,-8.041e-08
5,1,16,16,-6.004e-07
5,1,16,17,-4.245e-07
