lag,response
0,-6.046e-09
1,-2.224e-08
2,-2.025e-08
3,-9.569e-09
4,-1.262e-08
5,-1.649e-08
6,-1.526e-08
7,-7.37e-09
8,1.996e-08
9,1.64e-08
10,7.747e-09
11,1.289e-08
12,-1.109e-08
13,-2.209e-09
14,-6.519e-09
15,-1.331e-08
16,-1.645e-08
17,1.018e-08
18,4.23e-09
19,1.552e-08
20,2.879e-09
21,1.135e-08
22,2.871e-09
23,1.135e-08
24,3.229e-09
25,9.791e-09
26,1.456e-10
27,-4.693e-09
28,2.745e-10
29,8.513e-09
30,7.022e-10
31,-5.034e-09
32,7.574e-10
33,-5.642e-09
34,8.278e-10
35,5.911e-09
36,-6.045e-09
37,-5.935e-09
38,-8.267e-09
39,-1.684e-08
40,-2.984e-09
41,-4.713e-09
42,-4.84e-09
43,-7.491e-09
44,9.084e-09
45,-2.839e-09
46,3.68e-09
47,1.16e-08
48,2.819e-09
49,6.535e-09
50,5.317e-09
51,1.577e-09
52,-7.25e-09
53,1.714e-08
54,1.428e-08
55,1.383e-08
56,1.408e-08
57,3.414e-11
58,1.032e-08
59,6.583e-09
60,1.016e-08
61,-1.396e-09
62,1.123e-10
63,2.74e-10
64,1.66e-09
65,-1.514e-09
66,4.922e-09
67,-2.24e-09
68,-2.135e-09
69,3.43e-09
70,-2.036e-09
71,-1.583e-09
72,-1.5e-09
73,-1.725e-09
74,4.161e-09
75,1.787e-09
76,9.729e-10
77,4.01e-10
0,-5.734e-09
1,-2.708e-08
2,-2.26e-08
3,-1.833e-08
4,-1.108e-08
5,-1.142e-08
6,-1.237e-08
7,-1.102e-08
8,1.937e-08
9,1.532e-08
10,7.896e-09
11,7.304e-09
12,-1.353e-08
13,-9.423e-09
14,-6.744e-09
15,-3.475e-09
16,-2.158e-08
17,2.201e-09
18,5.051e-09
19,3.803e-09
20,2.214e-09
21,3.017e-09
22,2.887e-09
23,3.153e-09
24,2.914e-09
25,1.435e-09
26,2.528e-09
27,1.741e-09
28,1.927e-09
29,3.316e-10
30,1.928e-09
31,1.148e-09
32,1.306e-09
33,1.16e-09
34,1.342e-09
35,-2.901e-10
36,-1.514e-09
37,1.446e-10
38,-1.213e-08
39,-8.955e-09
40,-5.886e-09
41,-5.374e-09
42,-5.35e-09
43,-5.68e-09
44,7.022e-09
45,3.578e-09
46,3.423e-09
47,3.16e-09
48,1.335e-09
49,1.537e-09
50,1.378e-09
51,9.402e-10
52,-7.505e-10
53,1.447e-08
54,1.209e-08
55,7.483e-09
56,5.196e-09
57,4.339e-09
58,2.619e-09
59,1.091e-09
60,-2.175e-10
61,1.625e-09
62,1.112e-09
63,1.007e-09
64,-8.617e-10
65,1.306e-09
66,-2.597e-09
67,9.057e-10
68,6.229e-10
69,-2.476e-09
70,9.876e-10
71,8.847e-10
72,7.151e-10
73,8.397e-10
74,-2.196e-09
75,-5.894e-10
76,-3.274e-10
77,-1.08e-09
0,-2.801e-09
1,-2.122e-08
2,-1.597e-08
3,-9.934e-09
4,-9.769e-09
5,-1.07e-08
6,-9.038e-09
7,-6.219e-09
8,1.477e-08
9,1.125e-08
10,6.577e-09
11,8.542e-09
12,-8.491e-09
13,-3.773e-09
14,-4.239e-09
15,-7.518e-09
16,-1.415e-08
17,6.778e-09
18,5.503e-09
19,8.448e-09
20,3.538e-09
21,6.496e-09
22,3.547e-09
23,6.733e-09
24,3.674e-09
25,4.899e-09
26,-1.758e-10
27,-1.571e-09
28,7.233e-11
29,4.0e-09
30,-1.892e-10
31,-2.009e-09
32,-5.761e-12
33,-2.235e-09
34,4.222e-11
35,2.557e-09
36,-2.096e-09
37,-2.189e-09
38,-6.69e-09
39,-1.061e-08
40,-2.625e-09
41,-3.392e-09
42,-4.228e-09
43,-5.862e-09
44,9.405e-09
45,1.271e-09
46,1.858e-09
47,5.714e-09
48,1.395e-09
49,3.0e-09
50,2.285e-09
51,9.488e-10
52,-2.607e-09
53,1.229e-08
54,1.017e-08
55,8.989e-09
56,8.561e-09
57,1.243e-09
58,6.063e-09
59,3.733e-09
60,5.221e-09
61,-3.363e-10
62,1.684e-10
63,2.459e-10
64,9.513e-10
65,-5.986e-10
66,2.458e-09
67,-1.007e-09
68,-1.062e-09
69,1.621e-09
70,-8.548e-10
71,-7.355e-10
72,-6.241e-10
73,-8.246e-10
74,1.863e-09
75,8.973e-10
76,4.451e-10
77,2.41e-10
0,-4.448e-09
1,-2.157e-08
2,-2.252e-08
3,-2.17e-08
4,-1.781e-08
5,-1.732e-08
6,-1.669e-08
7,-1.601e-08
8,-1.645e-08
9,-1.367e-08
10,-1.126e-08
11,-9.349e-09
12,-1.338e-08
13,-1.276e-08
14,-1.211e-08
15,-1.169e-08
16,-1.464e-08
17,-9.552e-09
18,-7.248e-09
19,-6.313e-09
20,-5.593e-09
21,-4.245e-09
22,-3.105e-09
23,-1.959e-09
24,-1.157e-09
25,-1.67e-09
26,-1.874e-09
27,-1.632e-09
28,-1.382e-09
29,-1.418e-09
30,-1.658e-09
31,-1.461e-09
32,-1.264e-09
33,-1.051e-09
34,-8.738e-10
35,-1.459e-09
36,-1.48e-09
37,-1.492e-09
38,-2.989e-09
39,-3.768e-09
40,-4.281e-09
41,-4.947e-09
42,-6.919e-09
43,-8.266e-09
44,4.432e-09
45,3.361e-09
46,3.319e-09
47,3.265e-09
48,3.31e-09
49,3.114e-09
50,2.509e-09
51,2.221e-09
52,1.975e-09
53,2.225e-09
54,3.09e-09
55,3.358e-09
56,3.706e-09
57,3.833e-09
58,3.754e-09
59,3.471e-09
60,2.979e-09
61,2.818e-09
62,2.701e-09
63,2.535e-09
64,2.495e-09
65,1.831e-09
66,9.208e-10
67,7.157e-10
68,6.029e-10
69,4.64e-10
70,3.532e-10
71,2.951e-10
72,2.454e-10
73,2.075e-10
74,1.613e-10
75,2.671e-10
76,1.958e-10
77,1.316e-10
0,8.462e-10
1,-2.993e-08
2,-2.803e-08
3,-2.483e-08
4,-1.934e-08
5,-1.732e-08
6,-1.473e-08
7,-1.248e-08
8,1.056e-08
9,9.745e-09
10,7.162e-09
11,5.122e-09
12,-7.084e-09
13,-7.113e-09
14,-5.425e-09
15,-4.216e-09
16,-1.707e-08
17,-1.515e-10
18,4.574e-09
19,3.534e-09
20,3.166e-09
21,2.744e-09
22,2.794e-09
23,2.728e-09
24,2.676e-09
25,1.462e-09
26,8.628e-10
27,7.678e-10
28,7.242e-10
29,5.227e-10
30,5.426e-10
31,2.259e-10
32,2.436e-10
33,2.321e-10
34,3.029e-10
35,-9.69e-11
36,-2.309e-10
37,2.235e-10
38,-1.493e-08
39,-9.388e-09
40,-5.689e-09
41,-3.856e-09
42,-2.855e-09
43,-3.677e-09
44,2.567e-09
45,3.516e-09
46,1.986e-09
47,1.515e-09
48,7.768e-10
49,8.012e-10
50,6.638e-10
51,4.456e-10
52,-1.488e-10
53,1.132e-08
54,1.056e-08
55,6.679e-09
56,4.781e-09
57,3.348e-09
58,2.06e-09
59,1.022e-09
60,1.432e-10
61,5.395e-10
62,3.762e-10
63,1.96e-10
64,2.301e-10
65,1.385e-10
66,1.584e-12
67,5.216e-11
68,-9.601e-11
69,4.023e-11
70,-3.756e-11
71,1.543e-10
72,-1.367e-11
73,5.041e-11
74,-3.605e-11
75,1.417e-10
76,7.271e-11
77,-1.471e-10
0,-4.625e-07
1,-4.444e-07
2,-3.245e-07
3,-2.196e-07
4,-1.572e-07
5,-1.019e-07
6,-6.725e-08
7,-4.52e-08
8,-1.614e-08
9,-1.102e-08
10,-8.111e-09
11,-4.922e-09
12,-1.472e-08
13,-1.099e-08
14,-8.109e-09
15,-6.247e-09
16,-1.375e-08
17,4.295e-10
18,3.644e-09
19,3.043e-09
20,2.235e-09
21,2.42e-09
22,2.504e-09
23,2.68e-09
24,2.578e-09
25,1.097e-09
26,4.076e-10
27,3.841e-10
28,4.141e-10
29,1.817e-10
30,-3.478e-10
31,-8.097e-11
32,2.374e-10
33,4.83e-10
34,6.272e-10
35,-4.4e-10
36,-6.479e-10
37,-3.013e-10
38,-5.491e-09
39,-5.255e-09
40,-4.052e-09
41,-3.717e-09
42,-4.272e-09
43,-4.252e-09
44,5.91e-09
45,4.558e-09
46,3.539e-09
47,2.492e-09
48,1.799e-09
49,1.295e-09
50,9.568e-10
51,6.128e-10
52,1.976e-10
53,4.908e-09
54,5.119e-09
55,3.626e-09
56,2.741e-09
57,2.08e-09
58,1.441e-09
59,6.153e-10
60,-1.687e-10
61,2.363e-10
62,1.97e-10
63,1.827e-10
64,1.751e-10
65,2.167e-10
66,4.141e-10
67,2.289e-10
68,1.229e-10
69,-3.136e-12
70,-2.887e-11
71,6.734e-13
72,-2.359e-11
73,-3.85e-11
74,-8.282e-11
75,2.355e-11
76,-1.871e-11
77,3.553e-12
0,-6.144e-09
1,-2.757e-08
2,-2.34e-08
3,-1.883e-08
4,-1.034e-08
5,-1.139e-08
6,-1.293e-08
7,-1.143e-08
8,1.92e-08
9,1.596e-08
10,8.036e-09
11,7.67e-09
12,-1.399e-08
13,-9.872e-09
14,-7.25e-09
15,-3.076e-09
16,-2.141e-08
17,1.643e-09
18,4.397e-09
19,3.258e-09
20,1.484e-09
21,2.515e-09
22,2.346e-09
23,2.652e-09
24,2.45e-09
25,1.079e-09
26,3.324e-09
