well_id	latitude	longitude
gwm-well-1	39.1692	111.1623
gwm-well-2	39.1683	111.1634
gwm-well-3	39.1377	111.1623
gwm-well-4	39.1377	111.1634
gwm-well-5	39.0668	111.1300
gwm-well-6	39.0659	111.1289
gwm-well-7	39.0648	111.1270
gwm-well-8	39.0652	111.1261
gwm-well-9	39.0652	111.1263
gwm-well-10	39.0650	111.1261
gwm-well-11	39.0650	111.1263
gwm-well-12	39.0650	111.1265
gwm-well-13	39.0648	111.1263
gwm-well-14	39.0648	111.1265
gwm-well-15	39.0648	111.1268
gwm-well-16	39.0647	111.1265
gwm-well-17	39.0578	111.1193
gwm-well-18	39.0578	111.1196
gwm-well-19	39.0578	111.1198
gwm-well-20	39.0571	111.1196
gwm-well-21	39.0571	111.1200
gwm-well-22	39.0569	111.1196
gwm-well-23	39.0569	111.1200
gwm-well-24	39.0569	111.1205
gwm-well-25	39.0568	111.1191
gwm-well-26	39.0566	111.1191
gwm-well-27	39.0566	111.1193
gwm-well-28	39.0566	111.1198
gwm-well-29	39.0564	111.1189
