Well	Row	Col	Latitude	Longitude
Well	1	29	168	39.1692	111.1623
Well	2	30	169	39.1683	111.1634
Well	3	64	168	39.1377	111.1623
Well	4	64	169	39.1377	111.1634
Well	5	150	125	39.0668	111.1300
Well	6	155	120	39.0659	111.1289
Well	7	161	112	39.0648	111.1270
Well	8	159	108	39.0652	111.1261
Well	9	159	109	39.0652	111.1263
Well	10	160	108	39.0650	111.1261
Well	11	160	109	39.0650	111.1263
Well	12	160	110	39.0650	111.1265
Well	13	161	109	39.0648	111.1263
Well	14	161	110	39.0648	111.1265
Well	15	161	111	39.0648	111.1268
Well	16	162	110	39.0647	111.1265
Well	17	200	79	39.0578	111.1193
Well	18	200	80	39.0578	111.1196
Well	19	200	81	39.0578	111.1198
Well	20	204	80	39.0571	111.1196
Well	21	204	82	39.0571	111.1200
Well	22	205	80	39.0569	111.1196
Well	23	205	82	39.0569	111.1200
Well	24	205	84	39.0569	111.1205
Well	25	206	78	39.0568	111.1191
Well	26	207	78	39.0566	111.1191
Well	27	207	79	39.0566	111.1193
Well	28	207	81	39.0566	111.1198
Well	29	208	77	39.0564	111.1189
Well	29	208	77	39.0564	111.1189
Control point	1	206	80	39.1053	111.1242
Control point	2	160	111	39.1053	111.1242
Control point	3	238	122	39.1053	111.1242
Control point	4	134	18	39.1773	111.1242
Control point	5	123	155	39.1773	111.1019
Control point	6	49	156	39.1773	111.1019
Control point	7	161	108	39.1053	111.1242
Control point	8	204	81	39.1053	111.1242
Control point	9	30	168	39.1773	111.1019
Control point	10	65	169	39.1773	111.1019
